序号,标题,作者,文章类型,年份,期数,引用格式
23,生成语法中的汉语疑问句研究,王瑞昀、王大智,句法学和语义学,2010,第2期,"王瑞昀、王大智.生成语法中的汉语疑问句研究[J].澳门语言学刊,2010年第2期."
24,“早不V”和“不早V”的功能比较,阎克,句法学和语义学,2010,第2期,"阎克.“早不V”和“不早V”的功能比较[J].澳门语言学刊,2010年第2期."
25,试析现代汉语中三类不同的“X 点”,曾柱,句法学和语义学,2010,第2期,"曾柱.试析现代汉语中三类不同的“X 点”[J].澳门语言学刊,2010年第2期."
26,涪陵话表假设义的“是”及相关问题,王燕,句法学和语义学,2011,第1期,"王燕.涪陵话表假设义的“是”及相关问题[J].澳门语言学刊,2011年第1期."
27,违反约束理论C 原则的汉语现象及相关解释——以“他父亲害了小张”为例,田源,句法学和语义学,2011,第1期,"田源.违反约束理论C 原则的汉语现象及相关解释——以“他父亲害了小张”为例[J].澳门语言学刊,2011年第1期."
28,移位元性特征、句法限制与句首名词的话题和/或主语属性——以汉语领主句和及物句为例,马志刚,句法学和语义学,2011,第1期,"马志刚.移位元性特征、句法限制与句首名词的话题和/或主语属性——以汉语领主句和及物句为例[J].澳门语言学刊,2011年第1期."
29,轻动词问题的来龙去脉,王娟,句法学和语义学,2011,第1期,"王娟.轻动词问题的来龙去脉[J].澳门语言学刊,2011年第1期."
30,福州方言处置式,郑懿德,句法学和语义学,2011,第2期,"郑懿德.福州方言处置式[J].澳门语言学刊,2011年第2期."
31,语言研究与语感——从语法研究看语言研究与语感的相互关系,丁力、刘忠华,句法学和语义学,2011,第2期,"丁力、刘忠华.语言研究与语感——从语法研究看语言研究与语感的相互关系[J].澳门语言学刊,2011年第2期."
32,“V+到+O”构式的特征及形成机制,罗耀华、周晨磊,句法学和语义学,2011,第2期,"罗耀华、周晨磊.“V+到+O”构式的特征及形成机制[J].澳门语言学刊,2011年第2期."
33,“所谓”的功能及主观化,吕为光,句法学和语义学,2011,第2期,"吕为光.“所谓”的功能及主观化[J].澳门语言学刊,2011年第2期."
34,生成语法视野的聚焦类型学眼光的审视——评《焦点范畴与焦点形式》,张磊,句法学和语义学,2011,第2期,"张磊.生成语法视野的聚焦类型学眼光的审视——评《焦点范畴与焦点形式》[J].澳门语言学刊,2011年第2期."
35,说“数量名结构+形容词”,邢福义,句法学和语义学,2012,第1期,"邢福义.说“数量名结构+形容词”[J].澳门语言学刊,2012年第1期."
36,语言组织结构的非线性特征,司富珍,句法学和语义学,2012,第1期,"司富珍.语言组织结构的非线性特征[J].澳门语言学刊,2012年第1期."
37,现代汉语“X 力”式副词词族研究,匡鹏飞、胡茜,句法学和语义学,2012,第2期,"匡鹏飞、胡茜.现代汉语“X 力”式副词词族研究[J].澳门语言学刊,2012年第2期."
38,“V+个+N”结构的表里值检视,张媛媛,句法学和语义学,2012,第2期,"张媛媛.“V+个+N”结构的表里值检视[J].澳门语言学刊,2012年第2期."
39,方言中形式动词“有”的形容词性宾语之考察,沈威,句法学和语义学,2012,第2期,"沈威.方言中形式动词“有”的形容词性宾语之考察[J].澳门语言学刊,2012年第2期."
40,湘语邵阳话中“X 得很”的特殊用法及“得很”的演变,蒋协众、罗昕如,句法学和语义学,2012,第2期,"蒋协众、罗昕如.湘语邵阳话中“X 得很”的特殊用法及“得很”的演变[J].澳门语言学刊,2012年第2期."
41,当生成句法学理论遇到汉语事实——《汉语句法学》述评,张和友,句法学和语义学,2012,第2期,"张和友.当生成句法学理论遇到汉语事实——《汉语句法学》述评[J].澳门语言学刊,2012年第2期."
42,“有点+小+V”构式及其话语功能,罗耀华、郑友阶、牛利,句法学和语义学,2013,第1期,"罗耀华、郑友阶、牛利.“有点+小+V”构式及其话语功能[J].澳门语言学刊,2013年第1期."
43,汉语保留宾语句及相关结构的句法研究,杨西彬,句法学和语义学,2013,第1期,"杨西彬.汉语保留宾语句及相关结构的句法研究[J].澳门语言学刊,2013年第1期."
44,列举义构式“什么X”与“什么的”解析,卢惠惠,句法学和语义学,2013,第1期,"卢惠惠.列举义构式“什么X”与“什么的”解析[J].澳门语言学刊,2013年第1期."
45,“人定胜天”句法结构演变分析,郭伏良、刘鸿雁,句法学和语义学,2013,第1期,"郭伏良、刘鸿雁.“人定胜天”句法结构演变分析[J].澳门语言学刊,2013年第1期."
46,有关汉语数量表达的几个问题,陆俭明,句法学和语义学,2013,第2期,"陆俭明.有关汉语数量表达的几个问题[J].澳门语言学刊,2013年第2期."
47,建构动宾致使词法构式的语言学意义,孟凯,句法学和语义学,2013,第2期,"孟凯.建构动宾致使词法构式的语言学意义[J].澳门语言学刊,2013年第2期."
48,“把”字句的句法分析及其汉英翻译,周毕吉、李莹,句法学和语义学,2014,第1期,"周毕吉、李莹.“把”字句的句法分析及其汉英翻译[J].澳门语言学刊,2014年第1期."
49,母语使用者对汉语个体量词功能理解方式的调查,吴雅云,句法学和语义学,2014,第1期,"吴雅云.母语使用者对汉语个体量词功能理解方式的调查[J].澳门语言学刊,2014年第1期."
50,澳门立法语言中以“作出下列行为者”为引导词的列举句式,邹玉华,句法学和语义学,2014,第1期,"邹玉华.澳门立法语言中以“作出下列行为者”为引导词的列举句式[J].澳门语言学刊,2014年第1期."
51,从诗歌语言所见之宾语创新用法看汉语词类问题,苏俊波,句法学和语义学,2014,第2期,"苏俊波.从诗歌语言所见之宾语创新用法看汉语词类问题[J].澳门语言学刊,2014年第2期."
52,非宾格假设和汉语“把”字句,杨勇,句法学和语义学,2014,第2期,"杨勇.非宾格假设和汉语“把”字句[J].澳门语言学刊,2014年第2期."
53,论汉语中的包孕感叹句,周毕吉,句法学和语义学,2014,第2期,"周毕吉.论汉语中的包孕感叹句[J].澳门语言学刊,2014年第2期."
54,代体宾语的句法语义允准问题,庄会彬,句法学和语义学,2014,第2期,"庄会彬.代体宾语的句法语义允准问题[J].澳门语言学刊,2014年第2期."
55,太原话“给……给V”句式,张韵,句法学和语义学,2015,第1期,"张韵.太原话“给……给V”句式[J].澳门语言学刊,2015年第1期."
56,汉语叹词定位的历层模式,郭攀、夏凤梅,句法学和语义学,2015,第1期,"郭攀、夏凤梅.汉语叹词定位的历层模式[J].澳门语言学刊,2015年第1期."
57,近指和远指代词都兼指第三身现象的再探讨,汪化云、史秀菊,句法学和语义学,2015,第1期,"汪化云、史秀菊.近指和远指代词都兼指第三身现象的再探讨[J].澳门语言学刊,2015年第1期."
58,韵律和标界理论视角下的名词作状语介词隐现问题研究,张文,句法学和语义学,2015,第1期,"张文.韵律和标界理论视角下的名词作状语介词隐现问题研究[J].澳门语言学刊,2015年第1期."
59,汉语“白”的隐性否定语义探析,曾静涵、袁毓林,句法学和语义学,2015,第2期,"曾静涵、袁毓林.汉语“白”的隐性否定语义探析[J].澳门语言学刊,2015年第2期."
60,语气副词与句子的三个敏感位置,李勉,句法学和语义学,2015,第2期,"李勉.语气副词与句子的三个敏感位置[J].澳门语言学刊,2015年第2期."
61,祈使句的主语与约束原则,司罗红,句法学和语义学,2015,第2期,"司罗红.祈使句的主语与约束原则[J].澳门语言学刊,2015年第2期."
62,论形名结构做谓语的句子性质,杨西彬,句法学和语义学,2015,第2期,"杨西彬.论形名结构做谓语的句子性质[J].澳门语言学刊,2015年第2期."
63,汉语关系从句环境特殊性考察,张磊,句法学和语义学,2015,第2期,"张磊.汉语关系从句环境特殊性考察[J].澳门语言学刊,2015年第2期."
64,现代汉语中的虚主语“他”,张莹,句法学和语义学,2015,第2期,"张莹.现代汉语中的虚主语“他”[J].澳门语言学刊,2015年第2期."
65,汉语中的几个弱式焦点标记,董思聪,句法学和语义学,2015,第2期,"董思聪.汉语中的几个弱式焦点标记[J].澳门语言学刊,2015年第2期."
66,汉语“被”字式与英语“Be”型被动式语法化机制和动因的比较,周振峰,句法学和语义学,2015,第2期,"周振峰.汉语“被”字式与英语“Be”型被动式语法化机制和动因的比较[J].澳门语言学刊,2015年第2期."
67,汉语句间连接词机制的类型学参照,杨黎黎,句法学和语义学,2016,第1期,"杨黎黎.汉语句间连接词机制的类型学参照[J].澳门语言学刊,2016年第1期."
68,祈使特征与祈使句的生成机制,司罗红、王素改,句法学和语义学,2016,第1期,"司罗红、王素改.祈使特征与祈使句的生成机制[J].澳门语言学刊,2016年第1期."
69,汉语关系从句标记,张磊、赵宗飒,句法学和语义学,2016,第1期,"张磊、赵宗飒.汉语关系从句标记[J].澳门语言学刊,2016年第1期."
70,现代汉语“着”类词的语义地图研究,郭利霞、李小凡,句法学和语义学,2016,第2期,"郭利霞、李小凡.现代汉语“着”类词的语义地图研究[J].澳门语言学刊,2016年第2期."
71,“各种+X”构式及其形成机制,罗耀华、罗琪翔,句法学和语义学,2016,第2期,"罗耀华、罗琪翔.“各种+X”构式及其形成机制[J].澳门语言学刊,2016年第2期."
72,违反词语完整律现象中插入成分的性质,倪广妍,句法学和语义学,2016,第2期,"倪广妍.违反词语完整律现象中插入成分的性质[J].澳门语言学刊,2016年第2期."
73,谓词性空位成分存在的理论依据,张昀,句法学和语义学,2016,第2期,"张昀.谓词性空位成分存在的理论依据[J].澳门语言学刊,2016年第2期."
74,An Embodied Construction Grammar Approach to the Semantic Overlap of Chinese Classifiers: The case of tiao and dao,Song Jiang,句法学和语义学,2016,第2期,"Song Jiang.An Embodied Construction Grammar Approach to the Semantic Overlap of Chinese Classifiers: The case of tiao and dao[J].澳门语言学刊,2016年第2期."
75,否定标记与祈使标记共现的句法特征,马宏程、熊雯,句法学和语义学,2017,第1期,"马宏程、熊雯.否定标记与祈使标记共现的句法特征[J].澳门语言学刊,2017年第1期."
76,论语义的跨层潜含,郭攀,句法学和语义学,2017,第1期,"郭攀.论语义的跨层潜含[J].澳门语言学刊,2017年第1期."
77,体词谓语句中谓词性空位成分及其理论意义,张昀,句法学和语义学,2017,第1期,"张昀.体词谓语句中谓词性空位成分及其理论意义[J].澳门语言学刊,2017年第1期."
78,“不料”的超预期功能及主观性,袁昱菡、匡鹏飞,句法学和语义学,2017,第2期,"袁昱菡、匡鹏飞.“不料”的超预期功能及主观性[J].澳门语言学刊,2017年第2期."
79,汉语重叠的语法作用和重叠式的语法意义,秦宇,句法学和语义学,2017,第2期,"秦宇.汉语重叠的语法作用和重叠式的语法意义[J].澳门语言学刊,2017年第2期."
80,特征的叠加与塌缩,朱文清,句法学和语义学,2017,第2期,"朱文清.特征的叠加与塌缩[J].澳门语言学刊,2017年第2期."
81,“将来”“未来”的句法语义异同,彭彬,句法学和语义学,2017,第2期,"彭彬.“将来”“未来”的句法语义异同[J].澳门语言学刊,2017年第2期."
82,副词“至少”语法化的连续环境考察,陈月,句法学和语义学,2018,第1期,"陈月.副词“至少”语法化的连续环境考察[J].澳门语言学刊,2018年第1期."
83,网络语境中“一+枚[+饰人]”使用特点及其认知动因,罗耀华、罗琪翔,句法学和语义学,2018,第1期,"罗耀华、罗琪翔.网络语境中“一+枚[+饰人]”使用特点及其认知动因[J].澳门语言学刊,2018年第1期."
84,“要么p，要么q”句式探究,沈威,句法学和语义学,2018,第2期,"沈威.“要么p，要么q”句式探究[J].澳门语言学刊,2018年第2期."
85,汉语定语从句研究述评,白林倩、张磊,句法学和语义学,2018,第2期,"白林倩、张磊.汉语定语从句研究述评[J].澳门语言学刊,2018年第2期."
86,陈述性的“一个+NP”和“NP+一个”,于泳波,句法学和语义学,2018,第2期,"于泳波.陈述性的“一个+NP”和“NP+一个”[J].澳门语言学刊,2018年第2期."
87,苍南吴语的多功能词“起”,姜淑珍,句法学和语义学,2019,第1期,"姜淑珍.苍南吴语的多功能词“起”[J].澳门语言学刊,2019年第1期."
88,汉语准分裂句的定义和定位,张秀娟,句法学和语义学,2019,第1期,"张秀娟.汉语准分裂句的定义和定位[J].澳门语言学刊,2019年第1期."
89,汉语点线意象结构模式,郭攀、周韫琦,句法学和语义学,2019,第1期,"郭攀、周韫琦.汉语点线意象结构模式[J].澳门语言学刊,2019年第1期."
90,等级性与“差不多”和“几乎”的语义,段莎丽,句法学和语义学,2019,第2期,"段莎丽.等级性与“差不多”和“几乎”的语义[J].澳门语言学刊,2019年第2期."
91,温州方言的介趋结构,姜淑珍、史文磊,句法学和语义学,2020,第1期,"姜淑珍、史文磊.温州方言的介趋结构[J].澳门语言学刊,2020年第1期."
92,汉语情态动词结构的移位现象研究,胡波,句法学和语义学,2020,第1期,"胡波.汉语情态动词结构的移位现象研究[J].澳门语言学刊,2020年第1期."
93,时间复句的结构特点、形式标记及其在时间范畴中的地位,匡鹏飞、曹亚敏,句法学和语义学,2020,第1期,"匡鹏飞、曹亚敏.时间复句的结构特点、形式标记及其在时间范畴中的地位[J].澳门语言学刊,2020年第1期."
94,客方言语法研究六十年选评,杨靖雯、石佩璇,句法学和语义学,2020,第1期,"杨靖雯、石佩璇.客方言语法研究六十年选评[J].澳门语言学刊,2020年第1期."
95,汉语方言“量名”结构研究综观,徐晓娴,句法学和语义学,2020,第2期,"徐晓娴.汉语方言“量名”结构研究综观[J].澳门语言学刊,2020年第2期."
96,西南官话的多功能语素“得”——从《华西官话汉法词典》说起,刘春华,句法学和语义学,2020,第2期,"刘春华.西南官话的多功能语素“得”——从《华西官话汉法词典》说起[J].澳门语言学刊,2020年第2期."
97,普遍语法理论植根于汉语泥土的创新发展与解释实践——《格位理论的发展及其解释力研究》评介,张磊、刘望冬,句法学和语义学,2020,第2期,"张磊、刘望冬.普遍语法理论植根于汉语泥土的创新发展与解释实践——《格位理论的发展及其解释力研究》评介[J].澳门语言学刊,2020年第2期."
98,晋语河南安阳方言假转连词“不”及来源考察,崔闪闪,句法学和语义学,2021,第1期,"崔闪闪.晋语河南安阳方言假转连词“不”及来源考察[J].澳门语言学刊,2021年第1期."
99,潮州方言“X+做+X”结构的语法化,洪妍、林华勇,句法学和语义学,2021,第1期,"洪妍、林华勇.潮州方言“X+做+X”结构的语法化[J].澳门语言学刊,2021年第1期."
100,东莞（企石）粤语的“阿NP”结构,刘燕婷,句法学和语义学,2021,第1期,"刘燕婷.东莞（企石）粤语的“阿NP”结构[J].澳门语言学刊,2021年第1期."
101,海口方言的有定“量名”结构,沈冰,句法学和语义学,2021,第1期,"沈冰.海口方言的有定“量名”结构[J].澳门语言学刊,2021年第1期."
102,山西榆次方言的语气词“来时”,任冰蕊,句法学和语义学,2021,第1期,"任冰蕊.山西榆次方言的语气词“来时”[J].澳门语言学刊,2021年第1期."
103,“看来/想来”话语标记的形成及其话语功能,罗耀华、余紫微,句法学和语义学,2021,第1期,"罗耀华、余紫微.“看来/想来”话语标记的形成及其话语功能[J].澳门语言学刊,2021年第1期."
104,从标题口号语言特区看汉语综合性语法特征的回归,罗堃,句法学和语义学,2021,第2期,"罗堃.从标题口号语言特区看汉语综合性语法特征的回归[J].澳门语言学刊,2021年第2期."
105,后附成分“是”的性质、功能与来源,谢晓明、梁凯,句法学和语义学,2021,第2期,"谢晓明、梁凯.后附成分“是”的性质、功能与来源[J].澳门语言学刊,2021年第2期."
106,汉语方言形态变音的类型及相关问题,耿丽君,句法学和语义学,2021,第2期,"耿丽君.汉语方言形态变音的类型及相关问题[J].澳门语言学刊,2021年第2期."
107,湖南新化方言的前置型话题标记“你个”和“以个”,罗耀华、阳羡琼,句法学和语义学,2022,第1期,"罗耀华、阳羡琼.湖南新化方言的前置型话题标记“你个”和“以个”[J].澳门语言学刊,2022年第1期."
108,反义形容词对假性比较级的适应性差异及其成因,谢梦雅、刘彬,句法学和语义学,2022,第1期,"谢梦雅、刘彬.反义形容词对假性比较级的适应性差异及其成因[J].澳门语言学刊,2022年第1期."
109,语言特区视野下的网络语言词类活用研究,吴雅云,句法学和语义学,2022,第1期,"吴雅云.语言特区视野下的网络语言词类活用研究[J].澳门语言学刊,2022年第1期."
110,从语言习得看“名词+们”的使用规律与限制,王浩铭、张和友,句法学和语义学,2022,第2期,"王浩铭、张和友.从语言习得看“名词+们”的使用规律与限制[J].澳门语言学刊,2022年第2期."
111,湘西苗语的述宾式“A+NP”结构及相关的语法理论,吴芳,句法学和语义学,2022,第2期,"吴芳.湘西苗语的述宾式“A+NP”结构及相关的语法理论[J].澳门语言学刊,2022年第2期."
112,“还是”选择问句及其在网络语言特区中的语用创新,张莹,句法学和语义学,2022,第2期,"张莹.“还是”选择问句及其在网络语言特区中的语用创新[J].澳门语言学刊,2022年第2期."
113,从网络语言特区再议“NP 了”的性质,张昀,句法学和语义学,2022,第2期,"张昀.从网络语言特区再议“NP 了”的性质[J].澳门语言学刊,2022年第2期."
114,韵律语法近年来的几个重要发展,冯胜利,句法学和语义学,2023,第1期,"冯胜利.韵律语法近年来的几个重要发展[J].澳门语言学刊,2023年第1期."
115,语境中后件为真式条件句的语用和语义,璩凤魁、秦颁,句法学和语义学,2023,第1期,"璩凤魁、秦颁.语境中后件为真式条件句的语用和语义[J].澳门语言学刊,2023年第1期."
116,赣州方言的差比评价构式“比得X 是Y”,彭薇,句法学和语义学,2023,第1期,"彭薇.赣州方言的差比评价构式“比得X 是Y”[J].澳门语言学刊,2023年第1期."
117,情态句中极项“任何”和“什么”的允准机制,翁钰婷、陈莉,句法学和语义学,2023,第1期,"翁钰婷、陈莉.情态句中极项“任何”和“什么”的允准机制[J].澳门语言学刊,2023年第1期."
118,致果副词“不免”的话语关联与语义提取,冯啸、赵春利,句法学和语义学,2023,第1期,"冯啸、赵春利.致果副词“不免”的话语关联与语义提取[J].澳门语言学刊,2023年第1期."
119,同素逆序词“来到”和“到来”的语法研究,赖丽琴、朱其智,句法学和语义学,2023,第1期,"赖丽琴、朱其智.同素逆序词“来到”和“到来”的语法研究[J].澳门语言学刊,2023年第1期."
120,纯粹构式语法及其对汉语语法研究的启示,陆镜光、贺晓玲,句法学和语义学,2023,第2期,"陆镜光、贺晓玲.纯粹构式语法及其对汉语语法研究的启示[J].澳门语言学刊,2023年第2期."
121,程度、量级和“有+名”结构的语义分析,李强,句法学和语义学,2023,第2期,"李强.程度、量级和“有+名”结构的语义分析[J].澳门语言学刊,2023年第2期."
122,反预期话语标记“都”的语义语用特征,钟华,句法学和语义学,2023,第2期,"钟华.反预期话语标记“都”的语义语用特征[J].澳门语言学刊,2023年第2期."
123,语义地图模型在汉语方言语法研究中的新进展,邓秋玲,句法学和语义学,2023,第2期,"邓秋玲.语义地图模型在汉语方言语法研究中的新进展[J].澳门语言学刊,2023年第2期."
124,汉语复句研究的新思路——《语言分析之汉语复句篇》述介,王玉红、宋晖,句法学和语义学,2023,第2期,"王玉红、宋晖.汉语复句研究的新思路——《语言分析之汉语复句篇》述介[J].澳门语言学刊,2023年第2期."
125,从字词朗读的评估中看粤方言区人常犯的语音错误,张励妍,语音学与音系学,2002,总第18/19 期,"张励妍.从字词朗读的评估中看粤方言区人常犯的语音错误[J].澳门语言学刊,2002年总第18/19 期."
126,关于重叠词语的朗读,严娜,语音学与音系学,2002,总第18/19 期,"严娜.关于重叠词语的朗读[J].澳门语言学刊,2002年总第18/19 期."
127,语音模式对摹声词的制约,【韩】李玄玉,语音学与音系学,2003,总第20/21 期,"【韩】李玄玉.语音模式对摹声词的制约[J].澳门语言学刊,2003年总第20/21 期."
128,语音在口语交际中的作用,杜宝莲,语音学与音系学,2003,总第20/21 期,"杜宝莲.语音在口语交际中的作用[J].澳门语言学刊,2003年总第20/21 期."
129,博白新田镇村头客话语音特点,陈晓锦,语音学与音系学,2003,总第20/21期,"陈晓锦.博白新田镇村头客话语音特点[J].澳门语言学刊,2003年总第20/21期."
130,山束沂水方言的声韵特点,赵敏,语音学与音系学,2004,总第26 期,"赵敏.山束沂水方言的声韵特点[J].澳门语言学刊,2004年总第26 期."
131,《韶学集成》音韵价值研究,王进安,语音学与音系学,2004,总第27 期,"王进安.《韶学集成》音韵价值研究[J].澳门语言学刊,2004年总第27 期."
132,Labial-labial Co-occurrence Constraint in Cantonese,Hongming Zhang,语音学与音系学,2008,总第31/32 期,"Hongming Zhang.Labial-labial Co-occurrence Constraint in Cantonese[J].澳门语言学刊,2008年总第31/32 期."
133,广西八步八都话的“先长闭元音”,麦耘,语音学与音系学,2008,总第31/32 期,"麦耘.广西八步八都话的“先长闭元音”[J].澳门语言学刊,2008年总第31/32 期."
134,Monosyllabicity and Disyllabicity in Chinese Prosodic Morphology,Shengli Feng,语音学与音系学,2009,第1期,"Shengli Feng.Monosyllabicity and Disyllabicity in Chinese Prosodic Morphology[J].澳门语言学刊,2009年第1期."
135,古知庄章三组声母在汾西方言中的演变,乔全生、王为民,语音学与音系学,2009,第2期,"乔全生、王为民.古知庄章三组声母在汾西方言中的演变[J].澳门语言学刊,2009年第2期."
136,《广韵》版本间比较——江教版《宋本广韵》读后,桑宇红,语音学与音系学,2010,第1期,"桑宇红.《广韵》版本间比较——江教版《宋本广韵》读后[J].澳门语言学刊,2010年第1期."
137,浅论北京话的“吃文断字”现象,孔庆东,语音学与音系学,2011,第1期,"孔庆东.浅论北京话的“吃文断字”现象[J].澳门语言学刊,2011年第1期."
138,再说“开合等呼”,张振兴,语音学与音系学,2011,第1期,"张振兴.再说“开合等呼”[J].澳门语言学刊,2011年第1期."
139,汉语方言调型特征研究,王莉宁,语音学与音系学,2014,第2期,"王莉宁.汉语方言调型特征研究[J].澳门语言学刊,2014年第2期."
140,闽语“嵗”的文白异读,孙顺,语音学与音系学,2015,第1期,"孙顺.闽语“嵗”的文白异读[J].澳门语言学刊,2015年第1期."
141,苏北方言古非敷奉母的读音及演变,冯青青,语音学与音系学,2015,第2期,"冯青青.苏北方言古非敷奉母的读音及演变[J].澳门语言学刊,2015年第2期."
142,羌语支诸语言的声调、韵律和语气词,陈鑫海,语音学与音系学,2016,第1期,"陈鑫海.羌语支诸语言的声调、韵律和语气词[J].澳门语言学刊,2016年第1期."
143,山东章丘方言的轻声前变调及所反映的现象,赵学玲,语音学与音系学,2016,第2期,"赵学玲.山东章丘方言的轻声前变调及所反映的现象[J].澳门语言学刊,2016年第2期."
144,江沙维《汉洋合字汇》音系性质探讨,艾溢芳,语音学与音系学,2016,第2期,"艾溢芳.江沙维《汉洋合字汇》音系性质探讨[J].澳门语言学刊,2016年第2期."
145,汉语方言节奏的声学特征,林华,语音学与音系学,2017,第2期,"林华.汉语方言节奏的声学特征[J].澳门语言学刊,2017年第2期."
146,桐城话双音节轻声词连调初探,孙顺,语音学与音系学,2017,第2期,"孙顺.桐城话双音节轻声词连调初探[J].澳门语言学刊,2017年第2期."
147,从语音史角度看现代广州话韵母的音系归纳,李德超,语音学与音系学,2017,第2期,"李德超.从语音史角度看现代广州话韵母的音系归纳[J].澳门语言学刊,2017年第2期."
148,河南修武（郇封）方言的名词变韵,刘丹丹,语音学与音系学,2018,第2期,"刘丹丹.河南修武（郇封）方言的名词变韵[J].澳门语言学刊,2018年第2期."
149,韵律对黄梅戏唱词的影响,张莹,语音学与音系学,2018,第2期,"张莹.韵律对黄梅戏唱词的影响[J].澳门语言学刊,2018年第2期."
150,北部吴语次浊字读入阴调现象的探讨,姜晓芳,语音学与音系学,2018,第2期,"姜晓芳.北部吴语次浊字读入阴调现象的探讨[J].澳门语言学刊,2018年第2期."
151,绍兴（柯桥）方言声调的声学和感知研究,周怿培、张帆,语音学与音系学,2019,第2期,"周怿培、张帆.绍兴（柯桥）方言声调的声学和感知研究[J].澳门语言学刊,2019年第2期."
152,论梵汉对音的时代性,梁慧婧,语音学与音系学,2020,第1期,"梁慧婧.论梵汉对音的时代性[J].澳门语言学刊,2020年第1期."
153,福建漳平赤水方言两字组连读变调,陈宝贤,语音学与音系学,2021,第1期,"陈宝贤.福建漳平赤水方言两字组连读变调[J].澳门语言学刊,2021年第1期."
154,广西桂林市雁山区雁山镇（竹园村）土话语音特点,赵媛,语音学与音系学,2021,第1期,"赵媛.广西桂林市雁山区雁山镇（竹园村）土话语音特点[J].澳门语言学刊,2021年第1期."
155,昆剧老生和小丑情感念白声学特征比较,董理、陈奕瑜,语音学与音系学,2021,第1期,"董理、陈奕瑜.昆剧老生和小丑情感念白声学特征比较[J].澳门语言学刊,2021年第1期."
